"sk_evento","fk_tempo","fk_prospect","fk_vendedor","fk_cardapio","fk_tema","data_interesse","tipo_evento","duracao_horas","status","qtd_adultos","qtd_criancas","faturamento","custo","dias_para_evento","total_pessoas","lucro_total"
14,NULL,1410,7,1,9,"2015-02-10","Aniversário de 15 anos","04:00:00","Tornou-se cliente",58,10,"6700.00","5200.00",107,68,"1500.00"
15,NULL,612,8,3,NULL,"2015-02-11","Casamento","04:00:00","Em negociação",75,16,"7700.00","5600.00",107,91,"2100.00"
16,NULL,1872,3,NULL,NULL,"2015-02-12","Formatura","04:00:00","Desistência",50,20,NULL,NULL,106,70,NULL
17,NULL,519,9,4,NULL,"2015-02-13","Aniversário infantil","04:00:00","Tornou-se cliente",67,12,"6100.00","4800.00",106,79,"1300.00"
18,NULL,1977,1,2,NULL,"2015-02-14","Casamento","04:00:00","Em negociação",92,18,"8200.00","6200.00",105,110,"2000.00"
19,NULL,901,10,NULL,NULL,"2015-02-15","Chá revelação","04:00:00","Desistência",40,15,NULL,NULL,105,55,NULL
20,NULL,302,6,1,3,"2015-02-16","Aniversário de adulto","04:00:00","Tornou-se cliente",72,10,"6800.00","5400.00",104,82,"1400.00"
21,NULL,1111,2,4,NULL,"2015-02-17","Aniversário infantil","04:00:00","Em negociação",63,18,"6500.00","5000.00",103,81,"1500.00"
22,NULL,1551,5,NULL,NULL,"2015-02-18","Formatura","04:00:00","Desistência",55,10,NULL,NULL,103,65,NULL
23,NULL,1803,4,3,8,"2015-02-19","Chá revelação","04:00:00","Tornou-se cliente",48,25,"5300.00","4200.00",102,73,"1100.00"
24,NULL,2000,7,2,NULL,"2015-02-20","Casamento","04:00:00","Em negociação",95,15,"8800.00","6500.00",102,110,"2300.00"
25,NULL,444,4,NULL,NULL,"2015-02-21","Aniversário de adulto","04:00:00","Desistência",48,10,NULL,NULL,187,58,NULL
26,NULL,210,2,1,NULL,"2015-02-22","Aniversário infantil","04:00:00","Tornou-se cliente",38,24,"3200.00","2500.00",112,62,"700.00"
27,NULL,1777,6,NULL,NULL,"2015-02-23","Formatura","04:00:00","Desistência",70,5,NULL,NULL,146,75,NULL
28,NULL,1999,8,4,7,"2015-02-24","Casamento","04:00:00","Tornou-se cliente",90,10,"11800.00","9800.00",146,100,"2000.00"
29,NULL,432,4,2,NULL,"2015-02-25","Aniversário de 15 anos","04:00:00","Em negociação",60,15,"7600.00","6100.00",138,75,"1500.00"
30,NULL,88,1,NULL,NULL,"2015-02-26","Chá revelação","04:00:00","Desistência",35,20,NULL,NULL,113,55,NULL
31,NULL,1200,3,3,NULL,"2015-02-27","Aniversário infantil","04:00:00","Tornou-se cliente",40,30,"4100.00","3300.00",130,70,"800.00"
32,NULL,202,7,NULL,NULL,"2015-02-28","Aniversário de adulto","04:00:00","Desistência",50,10,NULL,NULL,108,60,NULL
33,NULL,801,5,4,2,"2015-03-01","Formatura","04:00:00","Tornou-se cliente",72,12,"9800.00","8200.00",160,84,"1600.00"
34,NULL,1601,9,2,NULL,"2015-03-02","Casamento","04:00:00","Em negociação",85,8,"11200.00","9200.00",148,93,"2000.00"
35,NULL,1450,10,NULL,NULL,"2015-03-03","Chá revelação","04:00:00","Desistência",30,25,NULL,NULL,121,55,NULL
36,NULL,55,2,1,6,"2015-03-04","Aniversário infantil","04:00:00","Tornou-se cliente",45,20,"4200.00","3400.00",137,65,"800.00"
37,NULL,2203,1,4,NULL,"2015-03-05","Aniversário de 15 anos","04:00:00","Em negociação",66,20,"8000.00","6500.00",131,86,"1500.00"
38,NULL,978,3,NULL,NULL,"2015-03-06","Aniversário de adulto","04:00:00","Desistência",52,8,NULL,NULL,111,60,NULL
39,NULL,389,6,3,5,"2015-03-07","Formatura","04:00:00","Tornou-se cliente",74,10,"9200.00","7600.00",187,84,"1600.00"
40,NULL,412,4,NULL,NULL,"2015-03-08","Chá revelação","04:00:00","Desistência",36,20,NULL,NULL,121,56,NULL
41,NULL,777,8,2,NULL,"2015-03-09","Aniversário infantil","04:00:00","Em negociação",42,18,"3800.00","3000.00",140,60,"800.00"
42,NULL,1201,5,4,1,"2015-03-10","Casamento","04:00:00","Tornou-se cliente",95,12,"12500.00","10400.00",179,107,"2100.00"
43,NULL,63,9,NULL,NULL,"2015-03-11","Aniversário de 15 anos","04:00:00","Desistência",60,15,NULL,NULL,132,75,NULL
44,NULL,1588,7,1,NULL,"2015-03-12","Formatura","04:00:00","Em negociação",68,14,"8700.00","7100.00",185,82,"1600.00"
45,NULL,245,2,NULL,NULL,"2015-03-13","Aniversário infantil","04:00:00","Desistência",34,22,NULL,NULL,152,56,NULL
46,NULL,999,10,2,10,"2015-03-14","Aniversário de adulto","04:00:00","Tornou-se cliente",58,12,"5200.00","4200.00",133,70,"1000.00"
47,NULL,1420,1,3,NULL,"2015-03-15","Chá revelação","04:00:00","Em negociação",39,18,"3400.00","2700.00",144,57,"700.00"
48,NULL,2044,6,NULL,NULL,"2015-03-16","Aniversário infantil","04:00:00","Desistência",41,19,NULL,NULL,118,60,NULL
49,NULL,444,3,4,9,"2015-03-17","Casamento","04:00:00","Tornou-se cliente",88,12,"11900.00","9800.00",178,100,"2100.00"
50,NULL,1700,2,2,NULL,"2015-03-18","Formatura","04:00:00","Em negociação",75,10,"9400.00","7800.00",164,85,"1600.00"
51,NULL,1455,4,1,NULL,"2015-03-19","Aniversário infantil","04:00:00","Tornou-se cliente",36,20,"3700.00","3000.00",114,56,"700.00"
52,NULL,199,7,NULL,NULL,"2015-03-20","Chá revelação","04:00:00","Desistência",34,18,NULL,NULL,161,52,NULL
53,NULL,833,8,3,NULL,"2015-03-21","Aniversário de adulto","04:00:00","Em negociação",55,10,"4800.00","3900.00",129,65,"900.00"
54,NULL,2010,5,4,6,"2015-03-22","Casamento","04:00:00","Tornou-se cliente",92,15,"12800.00","10500.00",158,107,"2300.00"
55,NULL,1022,9,NULL,NULL,"2015-03-23","Formatura","04:00:00","Desistência",70,8,NULL,NULL,175,78,NULL
56,NULL,650,1,2,8,"2015-03-24","Aniversário infantil","04:00:00","Tornou-se cliente",40,28,"4300.00","3400.00",114,68,"900.00"
57,NULL,1877,3,1,NULL,"2015-03-25","Aniversário de 15 anos","04:00:00","Em negociação",63,22,"8200.00","6700.00",127,85,"1500.00"
58,NULL,821,6,NULL,NULL,"2015-03-26","Chá revelação","04:00:00","Desistência",38,19,NULL,NULL,150,57,NULL
59,NULL,302,10,2,NULL,"2015-03-27","Formatura","04:00:00","Tornou-se cliente",72,12,"9100.00","7600.00",188,84,"1500.00"
60,NULL,1990,4,3,4,"2015-03-28","Aniversário infantil","04:00:00","Tornou-se cliente",42,20,"3900.00","3100.00",138,62,"800.00"
61,NULL,1344,7,4,NULL,"2015-03-29","Casamento","04:00:00","Em negociação",98,10,"13000.00","11100.00",175,108,"1900.00"
62,NULL,441,2,NULL,NULL,"2015-03-30","Chá revelação","04:00:00","Desistência",32,19,NULL,NULL,160,51,NULL
63,NULL,1150,5,1,NULL,"2015-03-31","Aniversário de adulto","04:00:00","Tornou-se cliente",57,10,"5000.00","4200.00",149,67,"800.00"
64,NULL,922,1,3,3,"2015-04-01","Formatura","04:00:00","Tornou-se cliente",78,10,"9800.00","8200.00",196,88,"1600.00"
65,NULL,1332,8,NULL,NULL,"2015-04-02","Aniversário infantil","04:00:00","Desistência",37,18,NULL,NULL,154,55,NULL
66,NULL,760,9,2,NULL,"2015-04-03","Aniversário de 15 anos","04:00:00","Em negociação",60,20,"8100.00","6600.00",140,80,"1500.00"
67,NULL,1880,3,4,2,"2015-04-04","Chá revelação","04:00:00","Tornou-se cliente",34,20,"3500.00","2700.00",176,54,"800.00"
68,NULL,2001,10,NULL,NULL,"2015-04-05","Formatura","04:00:00","Desistência",72,12,NULL,NULL,192,84,NULL
69,NULL,2002,6,4,NULL,"2015-04-06","Casamento","04:00:00","Tornou-se cliente",100,15,"13500.00","11200.00",186,115,"2300.00"
70,NULL,1788,4,1,NULL,"2015-04-07","Aniversário infantil","04:00:00","Em negociação",43,22,"4200.00","3400.00",140,65,"800.00"
71,NULL,611,7,NULL,NULL,"2015-04-08","Chá revelação","04:00:00","Desistência",30,20,NULL,NULL,161,50,NULL
72,NULL,999,2,3,1,"2015-04-09","Aniversário de adulto","04:00:00","Tornou-se cliente",59,10,"5100.00","4300.00",153,69,"800.00"
73,NULL,1120,3,2,NULL,"2015-04-10","Formatura","04:00:00","Em negociação",80,10,"9500.00","8100.00",205,90,"1400.00"
74,NULL,222,8,4,9,"2015-04-11","Casamento","04:00:00","Tornou-se cliente",110,8,"14000.00","11800.00",181,118,"2200.00"
75,NULL,1001,5,NULL,NULL,"2015-04-12","Aniversário infantil","04:00:00","Desistência",37,15,NULL,NULL,144,52,NULL
76,NULL,51,2,4,7,"2015-11-01","Casamento","04:00:00","Tornou-se cliente",66,25,"6080.00","5220.00",99,91,"860.00"
77,NULL,52,9,2,NULL,"2015-11-02","Aniversário de adulto","04:00:00","Em negociação",60,30,"4720.00","3980.00",102,90,"740.00"
78,NULL,53,5,NULL,NULL,"2015-11-03","Chá revelação","04:00:00","Desistência",57,22,NULL,NULL,104,79,NULL
79,NULL,54,8,1,NULL,"2015-11-04","Aniversário infantil","04:00:00","Tornou-se cliente",44,36,"3620.00","3070.00",103,80,"550.00"
80,NULL,55,1,3,4,"2015-11-05","Formatura","04:00:00","Tornou-se cliente",71,38,"6540.00","5790.00",100,109,"750.00"
81,NULL,56,4,NULL,NULL,"2015-11-06","Casamento","04:00:00","Desistência",63,31,NULL,NULL,103,94,NULL
82,NULL,57,6,2,3,"2015-11-07","Chá revelação","04:00:00","Tornou-se cliente",52,19,"3340.00","2810.00",103,71,"530.00"
83,NULL,58,7,1,NULL,"2015-11-08","Aniversário infantil","04:00:00","Em negociação",47,29,"3180.00","2670.00",102,76,"510.00"
84,NULL,59,3,NULL,NULL,"2015-11-09","Aniversário de adulto","04:00:00","Desistência",62,20,NULL,NULL,102,82,NULL
85,NULL,60,10,3,NULL,"2015-11-10","Formatura","04:00:00","Tornou-se cliente",74,40,"6820.00","5970.00",101,114,"850.00"
86,NULL,61,4,4,8,"2015-11-11","Casamento","04:00:00","Tornou-se cliente",70,28,"6450.00","5630.00",101,98,"820.00"
87,NULL,62,1,2,NULL,"2015-11-12","Aniversário de 15 anos","04:00:00","Em negociação",58,34,"4520.00","3860.00",101,92,"660.00"
88,NULL,63,5,NULL,NULL,"2015-11-13","Formatura","04:00:00","Desistência",65,27,NULL,NULL,101,92,NULL
89,NULL,64,9,1,6,"2015-11-14","Aniversário infantil","04:00:00","Tornou-se cliente",48,35,"3710.00","3160.00",101,83,"550.00"
90,NULL,65,2,4,NULL,"2015-11-15","Casamento","04:00:00","Em negociação",67,32,"5980.00","5140.00",101,99,"840.00"
91,NULL,66,6,NULL,NULL,"2015-11-16","Chá revelação","04:00:00","Desistência",53,24,NULL,NULL,101,77,NULL
92,NULL,67,8,2,9,"2015-11-17","Aniversário de adulto","04:00:00","Tornou-se cliente",61,26,"4890.00","4210.00",101,87,"680.00"
93,NULL,68,7,3,NULL,"2015-11-18","Formatura","04:00:00","Em negociação",72,39,"6610.00","5730.00",100,111,"880.00"
94,NULL,69,10,NULL,NULL,"2015-11-19","Aniversário infantil","04:00:00","Desistência",45,33,NULL,NULL,100,78,NULL
95,NULL,70,5,4,2,"2015-11-20","Casamento","04:00:00","Tornou-se cliente",68,27,"6220.00","5420.00",100,95,"800.00"
96,NULL,71,6,1,NULL,"2015-11-21","Aniversário infantil","04:00:00","Em negociação",49,35,"3410.00","2870.00",100,84,"540.00"
97,NULL,72,3,NULL,NULL,"2015-11-22","Aniversário de 15 anos","04:00:00","Desistência",55,29,NULL,NULL,100,84,NULL
98,NULL,73,9,3,5,"2015-11-23","Formatura","04:00:00","Tornou-se cliente",73,41,"6890.00","6010.00",100,114,"880.00"
99,NULL,74,4,4,NULL,"2015-11-24","Casamento","04:00:00","Em negociação",71,34,"6120.00","5280.00",100,105,"840.00"
100,NULL,75,1,NULL,NULL,"2015-11-25","Chá revelação","04:00:00","Desistência",54,23,NULL,NULL,100,77,NULL
101,NULL,76,7,1,4,"2015-11-26","Aniversário infantil","04:00:00","Tornou-se cliente",46,30,"3520.00","2980.00",100,76,"540.00"
102,NULL,77,3,3,NULL,"2015-11-27","Formatura","04:00:00","Em negociação",70,37,"6240.00","5410.00",100,107,"830.00"
103,NULL,78,10,NULL,NULL,"2015-11-28","Aniversário de adulto","04:00:00","Desistência",59,27,NULL,NULL,100,86,NULL
104,NULL,79,9,2,6,"2015-11-29","Chá revelação","04:00:00","Tornou-se cliente",52,22,"3270.00","2740.00",100,74,"530.00"
105,NULL,80,6,4,NULL,"2015-11-30","Casamento","04:00:00","Em negociação",72,29,"6010.00","5210.00",100,101,"800.00"
106,NULL,81,5,NULL,NULL,"2015-12-01","Formatura","04:00:00","Desistência",68,36,NULL,NULL,100,104,NULL
107,NULL,82,1,1,2,"2015-12-02","Aniversário infantil","04:00:00","Tornou-se cliente",47,33,"3610.00","3080.00",100,80,"530.00"
108,NULL,83,8,2,NULL,"2015-12-03","Chá revelação","04:00:00","Em negociação",55,25,"3120.00","2680.00",100,80,"440.00"
109,NULL,84,4,NULL,NULL,"2015-12-04","Casamento","04:00:00","Desistência",69,30,NULL,NULL,100,99,NULL
110,NULL,85,7,3,5,"2015-12-05","Formatura","04:00:00","Tornou-se cliente",74,42,"6920.00","6100.00",100,116,"820.00"
111,NULL,86,10,2,NULL,"2015-12-06","Aniversário de adulto","04:00:00","Em negociação",63,28,"4780.00","4090.00",100,91,"690.00"
112,NULL,87,3,NULL,NULL,"2015-12-07","Aniversário infantil","04:00:00","Desistência",43,34,NULL,NULL,100,77,NULL
113,NULL,88,8,4,7,"2015-12-08","Casamento","04:00:00","Tornou-se cliente",71,27,"6330.00","5530.00",100,98,"800.00"
114,NULL,89,2,3,NULL,"2015-12-09","Formatura","04:00:00","Em negociação",76,41,"6610.00","5800.00",100,117,"810.00"
115,NULL,90,1,NULL,NULL,"2015-12-10","Chá revelação","04:00:00","Desistência",51,26,NULL,NULL,100,77,NULL
116,NULL,91,9,1,3,"2015-12-11","Aniversário infantil","04:00:00","Tornou-se cliente",46,32,"3410.00","2890.00",100,78,"520.00"
117,NULL,92,6,4,NULL,"2015-12-12","Casamento","04:00:00","Em negociação",74,33,"6210.00","5400.00",100,107,"810.00"
118,NULL,93,4,NULL,NULL,"2015-12-13","Aniversário de adulto","04:00:00","Desistência",58,24,NULL,NULL,100,82,NULL
119,NULL,94,8,3,1,"2015-12-14","Formatura","04:00:00","Tornou-se cliente",73,40,"6820.00","5980.00",100,113,"840.00"
120,NULL,95,7,1,NULL,"2015-12-15","Aniversário infantil","04:00:00","Em negociação",45,31,"3170.00","2680.00",100,76,"490.00"
121,NULL,96,5,NULL,NULL,"2015-12-16","Casamento","04:00:00","Desistência",72,34,NULL,NULL,100,106,NULL
122,NULL,97,3,2,6,"2015-12-17","Chá revelação","04:00:00","Tornou-se cliente",54,23,"3340.00","2820.00",100,77,"520.00"
123,NULL,98,10,2,NULL,"2015-12-18","Aniversário de adulto","04:00:00","Em negociação",61,28,"4520.00","3810.00",100,89,"710.00"
124,NULL,99,1,NULL,NULL,"2015-12-19","Formatura","04:00:00","Desistência",69,36,NULL,NULL,100,105,NULL
125,NULL,1220,4,2,NULL,"2015-12-19","Aniversário infantil","04:00:00","Em negociação",30,27,"550.00","400.00",131,57,"150.00"
126,NULL,319,8,3,4,"2015-12-20","Aniversário de adulto","04:00:00","Tornou-se cliente",50,10,"750.00","540.00",148,60,"210.00"
127,NULL,901,6,NULL,NULL,"2015-12-21","Casamento","04:00:00","Desistência",70,20,NULL,NULL,142,90,NULL
128,NULL,552,3,1,NULL,"2015-12-22","Chá revelação","04:00:00","Em negociação",40,15,"480.00","350.00",165,55,"130.00"
129,NULL,841,5,2,7,"2015-12-23","Aniversário de 15 anos","04:00:00","Tornou-se cliente",60,20,"1100.00","820.00",148,80,"280.00"
130,NULL,1122,7,NULL,NULL,"2015-12-24","Formatura","04:00:00","Desistência",80,25,NULL,NULL,126,105,NULL
131,NULL,1999,9,4,NULL,"2015-12-25","Aniversário infantil","04:00:00","Em negociação",32,30,"600.00","430.00",115,62,"170.00"
132,NULL,1044,10,2,NULL,"2015-12-26","Chá revelação","04:00:00","Tornou-se cliente",45,20,"700.00","520.00",137,65,"180.00"
133,NULL,905,2,NULL,NULL,"2015-12-27","Aniversário infantil","04:00:00","Desistência",28,24,NULL,NULL,144,52,NULL
134,NULL,345,1,1,5,"2015-12-28","Aniversário de adulto","04:00:00","Tornou-se cliente",60,10,"820.00","610.00",167,70,"210.00"
135,NULL,554,4,3,NULL,"2015-12-29","Formatura","04:00:00","Em negociação",90,15,"1400.00","1050.00",163,105,"350.00"
136,NULL,77,8,NULL,NULL,"2015-12-30","Casamento","04:00:00","Desistência",95,20,NULL,NULL,173,115,NULL
137,NULL,556,6,2,3,"2015-12-31","Aniversário infantil","04:00:00","Tornou-se cliente",34,28,"680.00","510.00",150,62,"170.00"
138,NULL,1400,1,4,NULL,"2016-01-01","Aniversário de 15 anos","04:00:00","Em negociação",55,25,"900.00","690.00",134,80,"210.00"
139,NULL,300,3,NULL,NULL,"2016-01-02","Chá revelação","04:00:00","Desistência",38,18,NULL,NULL,171,56,NULL
140,NULL,209,5,3,NULL,"2016-01-03","Aniversário infantil","04:00:00","Tornou-se cliente",36,22,"620.00","450.00",146,58,"170.00"
141,NULL,877,7,1,NULL,"2016-01-04","Aniversário de adulto","04:00:00","Em negociação",65,5,"750.00","580.00",179,70,"170.00"
142,NULL,1665,9,NULL,NULL,"2016-01-05","Formatura","04:00:00","Desistência",88,20,NULL,NULL,161,108,NULL
143,NULL,1200,2,4,9,"2016-01-06","Aniversário infantil","04:00:00","Tornou-se cliente",40,30,"720.00","540.00",145,70,"180.00"
144,NULL,987,8,3,NULL,"2016-01-07","Casamento","04:00:00","Em negociação",110,15,"1900.00","1500.00",172,125,"400.00"
145,NULL,345,10,NULL,NULL,"2016-01-08","Aniversário de 15 anos","04:00:00","Desistência",58,22,NULL,NULL,178,80,NULL
146,NULL,744,6,1,NULL,"2016-01-09","Chá revelação","04:00:00","Em negociação",52,10,"500.00","360.00",159,62,"140.00"
147,NULL,1500,4,2,6,"2016-01-10","Aniversário infantil","04:00:00","Tornou-se cliente",48,25,"780.00","590.00",164,73,"190.00"
148,NULL,530,1,NULL,NULL,"2016-01-11","Formatura","04:00:00","Desistência",92,18,NULL,NULL,163,110,NULL
149,NULL,2050,5,3,NULL,"2016-01-12","Aniversário de adulto","04:00:00","Em negociação",70,8,"820.00","650.00",184,78,"170.00"
150,NULL,822,9,2,8,"2016-01-13","Chá revelação","04:00:00","Tornou-se cliente",42,20,"690.00","510.00",164,62,"180.00"
151,NULL,430,4,4,NULL,"2016-01-14","Formatura","04:00:00","Em negociação",100,18,"1500.00","1150.00",188,118,"350.00"
152,NULL,1777,6,NULL,NULL,"2016-01-15","Aniversário infantil","04:00:00","Desistência",34,20,NULL,NULL,156,54,NULL
153,NULL,2010,7,1,NULL,"2016-01-16","Casamento","04:00:00","Tornou-se cliente",95,10,"2100.00","1650.00",166,105,"450.00"
154,NULL,1001,8,3,NULL,"2016-01-17","Aniversário infantil","04:00:00","Em negociação",40,12,"580.00","430.00",172,52,"150.00"
155,NULL,1404,2,NULL,NULL,"2016-01-18","Aniversário de 15 anos","04:00:00","Desistência",60,20,NULL,NULL,156,80,NULL
156,NULL,654,10,2,1,"2016-01-19","Chá revelação","04:00:00","Tornou-se cliente",35,20,"520.00","390.00",193,55,"130.00"
157,NULL,1890,1,3,NULL,"2016-01-20","Aniversário de adulto","04:00:00","Em negociação",72,5,"850.00","630.00",169,77,"220.00"
158,NULL,550,9,NULL,NULL,"2016-01-21","Casamento","04:00:00","Desistência",100,15,NULL,NULL,175,115,NULL
159,NULL,543,6,4,NULL,"2016-01-22","Formatura","04:00:00","Tornou-se cliente",110,10,"2000.00","1600.00",201,120,"400.00"
160,NULL,455,7,1,NULL,"2016-01-23","Aniversário infantil","04:00:00","Em negociação",35,22,"550.00","420.00",174,57,"130.00"
161,NULL,1999,5,NULL,NULL,"2016-01-24","Aniversário de 15 anos","04:00:00","Desistência",52,12,NULL,NULL,198,64,NULL
162,NULL,322,3,2,5,"2016-01-25","Chá revelação","04:00:00","Tornou-se cliente",44,15,"610.00","480.00",197,59,"130.00"
163,NULL,901,4,1,NULL,"2016-01-25","Aniversário infantil","04:00:00","Tornou-se cliente",45,29,"3560.00","3010.00",119,74,"550.00"
164,NULL,902,6,NULL,NULL,"2016-01-26","Aniversário de adulto","04:00:00","Em negociação",62,24,"4120.00","3370.00",116,86,"750.00"
165,NULL,903,3,NULL,NULL,"2016-01-27","Casamento","04:00:00","Desistência",71,26,NULL,NULL,118,97,NULL
166,NULL,904,8,3,4,"2016-01-28","Formatura","04:00:00","Tornou-se cliente",69,35,"5980.00","5240.00",120,104,"740.00"
167,NULL,905,10,NULL,NULL,"2016-01-29","Chá revelação","04:00:00","Em negociação",41,21,"2540.00","1990.00",116,62,"550.00"
168,NULL,906,2,2,NULL,"2016-01-30","Aniversário de 15 anos","04:00:00","Tornou-se cliente",57,19,"4760.00","4030.00",126,76,"730.00"
169,NULL,907,9,NULL,NULL,"2016-01-31","Aniversário infantil","04:00:00","Desistência",38,29,NULL,NULL,120,67,NULL
170,NULL,908,7,4,NULL,"2016-02-01","Casamento","04:00:00","Tornou-se cliente",74,32,"6420.00","5660.00",120,106,"760.00"
171,NULL,909,5,NULL,NULL,"2016-02-02","Formatura","04:00:00","Em negociação",63,27,"4880.00","4120.00",115,90,"760.00"
172,NULL,910,1,NULL,NULL,"2016-02-03","Chá revelação","04:00:00","Desistência",44,29,NULL,NULL,114,73,NULL
173,NULL,911,8,1,6,"2016-02-04","Aniversário infantil","04:00:00","Tornou-se cliente",46,33,"3720.00","3160.00",118,79,"560.00"
174,NULL,912,4,NULL,NULL,"2016-02-05","Aniversário de adulto","04:00:00","Em negociação",60,30,"4280.00","3520.00",114,90,"760.00"
175,NULL,913,3,NULL,NULL,"2016-02-06","Casamento","04:00:00","Desistência",77,29,NULL,NULL,121,106,NULL
176,NULL,914,10,3,NULL,"2016-02-07","Formatura","04:00:00","Tornou-se cliente",68,34,"5920.00","5230.00",119,102,"690.00"
177,NULL,915,1,NULL,NULL,"2016-02-08","Aniversário infantil","04:00:00","Em negociação",40,35,"3020.00","2410.00",112,75,"610.00"
178,NULL,916,7,NULL,NULL,"2016-02-09","Chá revelação","04:00:00","Desistência",43,23,NULL,NULL,112,66,NULL
179,NULL,917,9,2,3,"2016-02-10","Aniversário de 15 anos","04:00:00","Tornou-se cliente",54,27,"4620.00","3980.00",116,81,"640.00"
180,NULL,918,6,NULL,NULL,"2016-02-11","Casamento","04:00:00","Em negociação",79,31,"5140.00","4360.00",113,110,"780.00"
181,NULL,919,2,NULL,NULL,"2016-02-12","Formatura","04:00:00","Desistência",64,26,NULL,NULL,108,90,NULL
182,NULL,920,5,1,8,"2016-02-13","Chá revelação","04:00:00","Tornou-se cliente",42,32,"3280.00","2790.00",117,74,"490.00"
183,NULL,921,3,NULL,NULL,"2016-02-14","Aniversário infantil","04:00:00","Em negociação",39,34,"2820.00","2230.00",112,73,"590.00"
184,NULL,922,1,NULL,NULL,"2016-02-15","Casamento","04:00:00","Desistência",74,28,NULL,NULL,112,102,NULL
185,NULL,923,8,3,NULL,"2016-02-16","Formatura","04:00:00","Tornou-se cliente",62,34,"5480.00","4740.00",109,96,"740.00"
186,NULL,924,7,NULL,NULL,"2016-02-17","Aniversário de adulto","04:00:00","Em negociação",52,24,"3680.00","2980.00",108,76,"700.00"
187,NULL,925,10,NULL,NULL,"2016-02-18","Aniversário infantil","04:00:00","Desistência",44,28,NULL,NULL,107,72,NULL
188,NULL,1502,6,1,NULL,"2016-02-18","Formatura","04:00:00","Tornou-se cliente",63,12,"8200.00","6900.00",140,75,"1300.00"
189,NULL,731,2,3,NULL,"2016-02-19","Chá revelação","04:00:00","Em negociação",47,9,"4200.00","3100.00",140,56,"1100.00"
190,NULL,1200,5,NULL,NULL,"2016-02-20","Aniversário infantil","04:00:00","Desistência",35,22,NULL,NULL,140,57,NULL
191,NULL,884,1,NULL,NULL,"2016-02-21","Aniversário de adulto","04:00:00","Desistência",50,3,NULL,NULL,140,53,NULL
192,NULL,1193,9,2,NULL,"2016-02-22","Casamento","04:00:00","Tornou-se cliente",71,10,"9800.00","8200.00",140,81,"1600.00"
193,NULL,2033,7,4,NULL,"2016-02-23","Aniversário infantil","04:00:00","Em negociação",32,34,"3800.00","2700.00",140,66,"1100.00"
194,NULL,540,8,NULL,NULL,"2016-02-24","Chá revelação","04:00:00","Desistência",41,16,NULL,NULL,140,57,NULL
195,NULL,502,4,1,7,"2016-02-25","Aniversário infantil","04:00:00","Tornou-se cliente",38,25,"5200.00","4200.00",140,63,"1000.00"
196,NULL,1880,3,2,NULL,"2016-02-26","Formatura","04:00:00","Tornou-se cliente",59,19,"9100.00","7500.00",140,78,"1600.00"
197,NULL,621,6,NULL,NULL,"2016-02-27","Casamento","04:00:00","Desistência",62,18,NULL,NULL,140,80,NULL
198,NULL,998,2,3,NULL,"2016-02-28","Aniversário de 15 anos","04:00:00","Em negociação",45,20,"5600.00","4100.00",140,65,"1500.00"
199,NULL,145,4,1,NULL,"2016-02-29","Aniversário infantil","04:00:00","Tornou-se cliente",36,30,"4900.00","3800.00",140,66,"1100.00"
200,NULL,1090,9,NULL,NULL,"2016-03-01","Aniversário de adulto","04:00:00","Desistência",53,4,NULL,NULL,140,57,NULL
